"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"DIVISLAB","EQ","20-May-2025","6,580.00","6,580.00","6,595.00","6,433.00","6,449.50","6,452.50","6,500.67","4,48,280","2,91,41,20,728.50","50,141","2,14,529","47.86"
"DIVISLAB","EQ","21-May-2025","6,452.50","6,454.00","6,596.50","6,454.00","6,554.00","6,552.00","6,555.27","5,10,445","3,34,61,07,305.00","57,431","2,49,339","48.85"
"DIVISLAB","EQ","22-May-2025","6,552.00","6,540.00","6,570.00","6,458.00","6,542.00","6,538.00","6,529.72","3,26,992","2,13,51,67,027.50","42,897","1,60,355","49.04"
"DIVISLAB","EQ","23-May-2025","6,538.00","6,560.00","6,560.00","6,457.00","6,482.50","6,483.00","6,495.70","2,24,119","1,45,58,10,774.00","30,792","1,05,213","46.95"
"DIVISLAB","EQ","26-May-2025","6,483.00","6,640.00","6,764.00","6,592.50","6,727.00","6,737.00","6,722.15","14,67,231","9,86,29,49,388.00","1,07,760","6,97,534","47.54"
"DIVISLAB","EQ","27-May-2025","6,737.00","6,725.00","6,760.50","6,684.00","6,687.00","6,698.00","6,728.40","2,94,304","1,98,01,95,108.00","36,074","1,66,611","56.61"
"DIVISLAB","EQ","28-May-2025","6,698.00","6,730.00","6,750.00","6,620.00","6,620.00","6,636.00","6,698.19","3,12,692","2,09,44,71,899.00","41,539","1,85,056","59.18"
"DIVISLAB","EQ","29-May-2025","6,636.00","6,645.00","6,670.50","6,603.00","6,620.00","6,631.50","6,634.58","3,64,770","2,42,00,97,569.50","35,372","2,49,175","68.31"
"DIVISLAB","EQ","30-May-2025","6,631.50","6,601.50","6,667.50","6,541.00","6,610.00","6,612.00","6,600.94","7,86,589","5,19,22,27,308.50","51,040","5,36,997","68.27"
"DIVISLAB","EQ","02-Jun-2025","6,612.00","6,614.50","6,631.00","6,520.00","6,540.00","6,539.00","6,559.51","2,83,232","1,85,78,63,745.00","33,380","1,82,727","64.51"
"DIVISLAB","EQ","03-Jun-2025","6,539.00","6,544.00","6,600.00","6,514.50","6,549.50","6,530.00","6,552.89","3,98,776","2,61,31,33,726.50","39,172","2,97,213","74.53"
"DIVISLAB","EQ","04-Jun-2025","6,530.00","6,550.00","6,649.50","6,530.00","6,625.00","6,618.00","6,615.25","4,07,206","2,69,37,68,340.00","43,599","2,31,398","56.83"
"DIVISLAB","EQ","05-Jun-2025","6,618.00","6,628.00","6,679.00","6,608.00","6,610.50","6,628.50","6,638.39","2,00,706","1,33,23,64,024.50","24,721","92,515","46.09"
"DIVISLAB","EQ","06-Jun-2025","6,628.50","6,630.00","6,630.00","6,505.00","6,557.50","6,544.50","6,530.81","3,61,092","2,35,82,22,820.50","46,675","1,98,294","54.92"
"DIVISLAB","EQ","09-Jun-2025","6,544.50","6,557.50","6,654.50","6,547.50","6,640.00","6,633.00","6,601.56","2,54,156","1,67,78,27,286.50","34,255","1,40,490","55.28"
